"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 21 22:48:08 ICT 2024","Mon Oct 21 22:48:10 ICT 2024","1195","All Test Suite","Run on firefox driver","com.nopcommerce.users.Level_16_AllureReport","com.nopcommerce.users.Level_16_AllureReport","User_03_MyAccount","User_03_MyAccount","Verify My Account Information"
"passed","Mon Oct 21 22:48:07 ICT 2024","Mon Oct 21 22:48:08 ICT 2024","1325","All Test Suite","Run on firefox driver","com.nopcommerce.users.Level_16_AllureReport","com.nopcommerce.users.Level_16_AllureReport","User_02_Login","User_02_Login","User Login to System"
"passed","Mon Oct 21 22:48:10 ICT 2024","Mon Oct 21 22:48:11 ICT 2024","1522","All Test Suite","Run on firefox driver","com.nopcommerce.users.Level_16_AllureReport","com.nopcommerce.users.Level_16_AllureReport","User_04_Swich_Page_With_Switch_Case","User_04_Swich_Page_With_Switch_Case","User Switch Pages on Sidebar"
"failed","Mon Oct 21 22:48:03 ICT 2024","Mon Oct 21 22:48:07 ICT 2024","3564","All Test Suite","Run on firefox driver","com.nopcommerce.users.Level_16_AllureReport","com.nopcommerce.users.Level_16_AllureReport","User_01_Register","User_01_Register","User Register A Account"
